scenario,strategy,count,honest_p,byz_exploit_p,obs_error_p,cold_start_exclusion_rate,post_exposure_miss_rate,mean_post_exposure_first_exclusion_delay,p50_post_exposure_first_exclusion_delay,p95_post_exposure_first_exclusion_delay,mean_stable_h3_delay,stable_h3_miss_rate,mean_stable_h5_delay,stable_h5_miss_rate,mean_post_attack_miss_rate,mean_re_entry_count,mean_honest_demotion_rate,mean_byzantine_leader_rounds
P_T1_h095_b080_e02,decay-90,100,0.95,0.8,0.02,0.07,0.0,3.161290322580645,1,13,3.161290322580645,0.0,3.2204301075268815,0.0,0.06768421052631579,0.28,0.4620051856808158,11.03
P_T1_h095_b080_e02,decay-95,100,0.95,0.8,0.02,0.075,0.0,2.924324324324324,1,12,2.924324324324324,0.0,3.0108108108108107,0.0,0.05863157894736842,0.18,0.46317540731792173,10.17
P_T1_h095_b080_e02,decay-99,100,0.95,0.8,0.02,0.075,0.0,2.945945945945946,1,12,2.9567567567567568,0.0,3.0432432432432432,0.0,0.05347368421052631,0.1,0.45399342811563625,9.68
P_T1_h095_b080_e02,sliding-w-10,100,0.95,0.8,0.02,0.015,0.0,5.2639593908629445,1,20,5.319796954314721,0.0,5.538071065989848,0.0,0.21926315789473683,3.78,0.4440971853260819,25.43
P_T1_h095_b080_e02,sliding-w-20,100,0.95,0.8,0.02,0.06,0.0,3.851063829787234,1,16,3.973404255319149,0.0,4.170212765957447,0.0,0.11463157894736842,1.39,0.4584879615453989,15.49
P_T1_h095_b080_e02,sliding-w-5,100,0.95,0.8,0.02,0.0,0.0,3.325,1,14,3.895,0.0,4.19,0.0,0.5144210526315789,11.35,0.39067436419054374,53.47
P_T1_h095_b080_e05,cumulative,100,0.95,0.8,0.05,0.1,0.0,2.6277777777777778,0,13,3.0166666666666666,0.0,3.5444444444444443,0.0,0.06042105263157895,0.47,0.44436957940136296,10.27
P_T1_h095_b080_e05,decay-90,100,0.95,0.8,0.05,0.085,0.0,3.19672131147541,0,10,3.19672131147541,0.0,3.3114754098360657,0.0,0.055473684210526314,0.6,0.4686421986258293,9.8
P_T1_h095_b080_e05,decay-95,100,0.95,0.8,0.05,0.1,0.0,2.1055555555555556,0,9,2.1055555555555556,0.0,2.283333333333333,0.0,0.04136842105263158,0.27,0.4701105216716773,8.46
P_T1_h095_b080_e05,decay-99,100,0.95,0.8,0.05,0.1,0.0,2.1055555555555556,0,9,2.1055555555555556,0.0,2.316666666666667,0.0,0.038526315789473686,0.18,0.4603887853455621,8.19
P_T1_h095_b080_e05,sliding-w-10,100,0.95,0.8,0.05,0.0,0.0,5.775,1,35,6.015,0.0,6.24,0.0,0.2053684210526316,4.72,0.4465881015758184,24.04
P_T1_h095_b080_e05,sliding-w-20,100,0.95,0.8,0.05,0.06,0.0,5.090425531914893,0,18,4.978609625668449,0.005319148936170213,4.82258064516129,0.010638297872340425,0.11147368421052631,1.69,0.46085019311132525,15.12
P_T1_h095_b080_e05,sliding-w-5,100,0.95,0.8,0.05,0.0,0.0,2.86,1,11,3.25,0.0,3.62,0.0,0.45452631578947367,11.4,0.40973726108626524,47.71
P_T1_h098_b020_e00,cumulative,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.0036842105263157894,0.0,0.3745830280830281,5.34
P_T1_h098_b020_e00,decay-90,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.0036842105263157894,0.0,0.38276582730994496,5.34
P_T1_h098_b020_e00,decay-95,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.0036842105263157894,0.0,0.3828924090615267,5.34
P_T1_h098_b020_e00,decay-99,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.0036842105263157894,0.0,0.3820580253080253,5.34
P_T1_h098_b020_e00,sliding-w-10,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.0036842105263157894,0.0,0.42891329744125545,5.34
P_T1_h098_b020_e00,sliding-w-20,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.0036842105263157894,0.0,0.4257124089895089,5.34
P_T1_h098_b020_e00,sliding-w-5,100,0.98,0.2,0.0,0.0,0.0,0.19,0,1,0.19,0.0,0.19,0.0,0.00431578947368421,0.06,0.4278410950736196,5.4
P_T1_h098_b020_e02,cumulative,100,0.98,0.2,0.02,0.04,0.0,0.2916666666666667,0,2,0.2916666666666667,0.0,0.2916666666666667,0.0,0.005473684210526316,0.0,0.42612249243909794,5.29
P_T1_h098_b020_e02,decay-90,100,0.98,0.2,0.02,0.04,0.0,0.2916666666666667,0,2,0.2916666666666667,0.0,0.2916666666666667,0.0,0.005473684210526316,0.0,0.44159171727712915,5.29
P_T1_h098_b020_e02,decay-95,100,0.98,0.2,0.02,0.04,0.0,0.2916666666666667,0,2,0.2916666666666667,0.0,0.2916666666666667,0.0,0.005473684210526316,0.0,0.4423067864813305,5.29
P_T1_h098_b020_e02,decay-99,100,0.98,0.2,0.02,0.04,0.0,0.2916666666666667,0,2,0.2916666666666667,0.0,0.2916666666666667,0.0,0.005473684210526316,0.0,0.43852140239278464,5.29
P_T1_h098_b020_e02,sliding-w-10,100,0.98,0.2,0.02,0.04,0.0,0.2916666666666667,0,2,0.2916666666666667,0.0,0.2916666666666667,0.0,0.005473684210526316,0.0,0.4648786439872261,5.29
P_T1_h098_b020_e02,sliding-w-20,100,0.98,0.2,0.02,0.04,0.0,0.2916666666666667,0,2,0.2916666666666667,0.0,0.2916666666666667,0.0,0.005473684210526316,0.0,0.46373547492946626,5.29
P_T1_h098_b020_e02,sliding-w-5,100,0.98,0.2,0.02,0.03,0.0,0.5103092783505154,0,2,0.5103092783505154,0.0,0.5103092783505154,0.0,0.006947368421052631,0.09,0.46386286827131634,5.43
P_T1_h098_b020_e05,cumulative,100,0.98,0.2,0.05,0.095,0.0,0.2596685082872928,0,2,0.2596685082872928,0.0,0.2596685082872928,0.0,0.004736842105263157,0.0,0.4446028173816734,5.2
P_T1_h098_b020_e05,decay-90,100,0.98,0.2,0.05,0.095,0.0,0.2596685082872928,0,2,0.2596685082872928,0.0,0.2596685082872928,0.0,0.004736842105263157,0.0,0.46736433804690514,5.2
P_T1_h098_b020_e05,decay-95,100,0.98,0.2,0.05,0.095,0.0,0.2596685082872928,0,2,0.2596685082872928,0.0,0.2596685082872928,0.0,0.004736842105263157,0.0,0.4665121437398433,5.2
P_T1_h098_b020_e05,decay-99,100,0.98,0.2,0.05,0.095,0.0,0.2596685082872928,0,2,0.2596685082872928,0.0,0.2596685082872928,0.0,0.004736842105263157,0.0,0.4560208871701025,5.2
P_T1_h098_b020_e05,sliding-w-10,100,0.98,0.2,0.05,0.095,0.0,0.2596685082872928,0,2,0.2596685082872928,0.0,0.2596685082872928,0.0,0.004736842105263157,0.0,0.47959445060308115,5.2
P_T1_h098_b020_e05,sliding-w-20,100,0.98,0.2,0.05,0.095,0.0,0.2596685082872928,0,2,0.2596685082872928,0.0,0.2596685082872928,0.0,0.004736842105263157,0.0,0.47551554617550623,5.2
P_T1_h098_b020_e05,sliding-w-5,100,0.98,0.2,0.05,0.07,0.0,0.8064516129032258,0,2,0.8064516129032258,0.0,0.8064516129032258,0.0,0.006105263157894737,0.08,0.4787170174197199,5.33
P_T1_h098_b050_e00,cumulative,100,0.98,0.5,0.0,0.015,0.0,0.9796954314720813,0,3,0.9796954314720813,0.0,0.9796954314720813,0.0,0.018000000000000002,0.0,0.3753121045621046,6.69
P_T1_h098_b050_e00,decay-90,100,0.98,0.5,0.0,0.015,0.0,0.9796954314720813,0,3,0.9796954314720813,0.0,0.9796954314720813,0.0,0.018000000000000002,0.0,0.3866711997153174,6.69
P_T1_h098_b050_e00,decay-95,100,0.98,0.5,0.0,0.015,0.0,0.9796954314720813,0,3,0.9796954314720813,0.0,0.9796954314720813,0.0,0.018000000000000002,0.0,0.3871936772377949,6.69
P_T1_h098_b050_e00,decay-99,100,0.98,0.5,0.0,0.015,0.0,0.9796954314720813,0,3,0.9796954314720813,0.0,0.9796954314720813,0.0,0.018000000000000002,0.0,0.386430944055944,6.69
P_T1_h098_b050_e00,sliding-w-10,100,0.98,0.5,0.0,0.015,0.0,0.9796954314720813,0,3,0.9796954314720813,0.0,0.9796954314720813,0.0,0.020421052631578947,0.08,0.4283710459449598,6.92
P_T1_h098_b050_e00,sliding-w-20,100,0.98,0.5,0.0,0.015,0.0,0.9796954314720813,0,3,0.9796954314720813,0.0,0.9796954314720813,0.0,0.018000000000000002,0.0,0.4260348619686408,6.69
P_T1_h098_b050_e00,sliding-w-5,100,0.98,0.5,0.0,0.0,0.0,0.98,0,3,1.025,0.0,1.045,0.0,0.07663157894736843,2.87,0.384135996038077,12.26
P_T1_h098_b050_e02,cumulative,100,0.98,0.5,0.02,0.065,0.0,0.7112299465240641,0,3,0.7112299465240641,0.0,0.7112299465240641,0.0,0.01231578947368421,0.0,0.42438194583400024,6.06
P_T1_h098_b050_e02,decay-90,100,0.98,0.5,0.02,0.065,0.0,0.7112299465240641,0,3,0.7112299465240641,0.0,0.7112299465240641,0.0,0.01231578947368421,0.0,0.44451523334318127,6.06
P_T1_h098_b050_e02,decay-95,100,0.98,0.5,0.02,0.065,0.0,0.7112299465240641,0,3,0.7112299465240641,0.0,0.7112299465240641,0.0,0.01231578947368421,0.0,0.44424699593025246,6.06
P_T1_h098_b050_e02,decay-99,100,0.98,0.5,0.02,0.065,0.0,0.7112299465240641,0,3,0.7112299465240641,0.0,0.7112299465240641,0.0,0.01231578947368421,0.0,0.4368551437251969,6.06
P_T1_h098_b050_e02,sliding-w-10,100,0.98,0.5,0.02,0.06,0.0,0.9574468085106383,0,3,0.9574468085106383,0.0,0.9574468085106383,0.0,0.013999999999999999,0.08,0.4643412170405722,6.22
